Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
1455 058 082 009 036 050 
7765 023 098 023 060 012 
7583 044 087 023 046 062 
2036 001 074 076 029 076 
3823 069 035 059 046 082 
4750 068 062 082 079 100 
7409 075 026 089 100 072 
6005 060 044 087 059 090 
6059 086 016 044 022 019 
8239 035 036 040 033 031 
2175 003 098 030 002 003 
2695 089 008 012 056 026 
8156 049 081 096 088 009 
2556 011 021 081 065 052 
2456 062 015 015 035 054 
2287 098 075 020 082 044 
6119 060 053 081 018 078 
6221 084 084 002 063 076 
6894 007 046 018 011 088 
9268 017 025 087 059 031 
1161 099 089 086 061 080 
5690 042 044 082 055 061 
0227 003 034 060 061 066 
4017 038 092 053 020 047 
7052 041 058 015 041 023 
9438 100 057 091 033 077 
1117 002 077 081 011 034 
3744 053 047 057 082 061 
1535 050 055 088 018 032 
4149 059 073 052 040 070 
6835 009 003 077 016 066 
8528 056 003 073 063 043 
0243 097 007 082 065 076 
7070 001 099 057 086 029 
1006 040 083 099 060 013 
6512 093 009 034 100 089 
9225 024 030 023 089 056 
1210 049 018 093 087 014 
7353 007 067 073 046 019 
4658 031 095 024 087 040 
8838 088 096 006 076 100 
6604 095 043 052 020 095 
8402 046 076 071 006 098 
3785 038 064 063 058 084 
2624 098 096 060 028 025 
2520 014 088 053 011 084 
0679 033 100 006 096 058 
7404 042 032 044 074 025 
0942 054 003 043 055 007 
7476 067 018 028 018 043 
9915 067 085 087 004 094 
8817 094 044 082 053 078 
1356 064 085 010 024 097 
7835 077 012 031 070 013 
4495 099 046 100 069 040 
1028 046 100 099 054 047 
9845 022 026 071 098 058 
6053 083 003 076 054 074 
8074 009 066 010 040 003 
1183 086 001 029 073 016 
